character,romaji,meaning
ひとつ,hitotsu,one (native count)
ふたつ,futatsu,two (native count)
みっつ,mittsu,three (native count)
よっつ,yottsu,four (native count)
いつつ,itsutsu,five (native count)
いくつ,ikutsu,how many?
きょう,kyou,today
きのう,kinou,yesterday
あした,ashita,tomorrow
あさ,asa,morning
ひる,hiru,"noon, daytime"
よる,yoru,"night, evening"
いま,ima,now
まいにち,mainichi,every day
まいあさ,maiasa,every morning
ことし,kotoshi,this year
らいねん,rainen,next year
きょねん,kyonen,last year
おとうさん,otousan,father (polite)
おかあさん,okaasan,mother (polite)
おにいさん,oniisan,older brother (polite)
おねえさん,oneesan,older sister (polite)
おとうと,otouto,younger brother
いもうと,imouto,younger sister
かぞく,kazoku,family
ともだち,tomodachi,friend
からだ,karada,body
あたま,atama,head
かお,kao,face
はな,hana,nose
かみ,kami,hair
せ/せい,se/sei,"height, stature"
ごはん,gohan,"rice, meal"
みず,mizu,water
おちゃ,ocha,green tea
こうひー,koohii,coffee
パン,pan,bread
たまご,tamago,egg
さかな,sakana,fish
にく,niku,meat
やさい,yasai,vegetables
くだもの,kudamono,fruit
のむ,nomu,to drink
たべる,taberu,to eat
つくる,tsukuru,"to make, to cook"
がっこう,gakkou,school
だいがく,daigaku,university
せんせい,sensei,teacher
がくせい,gakusei,student
きょうしつ,kyoushitsu,classroom
ほん,hon,book
ノート,nooto,notebook
えんぴつ,enpitsu,pencil
かばん,kaban,bag
よむ,yomu,to read
かく,kaku,to write
べんきょうする,benkyou suru,to study
うち/いえ,uchi/ie,"house, home"
へや,heya,room
にわ,niwa,garden
みせ,mise,"shop, store"
えき,eki,train station
びょういん,byouin,hospital
こうえん,kouen,park
としょかん,toshokan,library
でんしゃ,densha,train
バス,basu,bus
じてんしゃ,jitensha,bicycle
くるま,kuruma,car
ひこうき,hikouki,airplane
のる,noru,"to ride, to get on"
おりる,oriru,to get off
おおきい,ookii,big
ちいさい,chiisai,small
たかい,takai,"expensive, tall"
やすい,yasui,cheap
あたらしい,atarashii,new
ふるい,furui,old (things)
いい/よい,ii/yoi,good
わるい,warui,bad
おおい,ooi,"many, much"
すくない,sukunai,"few, little"
むずかしい,muzukashii,difficult
やさしい,yasashii,"easy, kind"
おもしろい,omoshiroi,"interesting, fun"
つまらない,tsumaranai,boring
あつい,atsui,hot
さむい,samui,cold (weather)
つめたい,tsumetai,cold (to touch/drink)
みる,miru,"to see, to watch"
きく,kiku,"to hear, to listen, to ask"
いく,iku,to go
くる,kuru,to come
かえる,kaeru,to return home
いる,iru,to be (animate)
ある,aru,"to be, to exist (inanimate)"
する,suru,to do
おきる,okiru,"to wake up, to get up"
ねる,neru,"to sleep, to go to bed"
かう,kau,to buy
うる,uru,to sell
はなす,hanasu,"to speak, to talk"
わかる,wakaru,to understand
しる,shiru,to know
もつ,motsu,"to hold, to have"
あう,au,to meet
まつ,matsu,to wait
あそぶ,asobu,"to play, to have fun"
はたらく,hataraku,to work
ひと,hito,person
こども,kodomo,"child, children"
おとこのひと,otoko no hito,man
おんなのひと,onna no hito,woman
なまえ,namae,name
くに,kuni,country
ことば,kotoba,"word, language"
にほんご,nihongo,Japanese language
えいご,eigo,English language
てんき,tenki,weather
かぜ,kaze,wind
あめ,ame,rain
ゆき,yuki,snow
そら,sora,sky
うみ,umi,"sea, ocean"
やま,yama,mountain
かわ,kawa,river
まち,machi,"town, city"
とき,toki,"time, moment"
もの,mono,thing (tangible)
こと,koto,thing (abstract)
